38	100	-29	57	-9	-2	-60	-84	-58	-38	83	-22	-95	-90	-38	10
-22	-49	36	-37	-50	-82	20	95	16	-56	33	-3	85	79	-100	-45
-97	-35	-83	-86	48	-28	32	52	15	94	-91	-97	25	-59	-40	51
15	77	-15	88	44	-76	45	-2	72	94	4	-77	77	-35	79	-39
6	-87	-73	34	13	28	81	-5	53	15	47	-82	-3	79	75	9
-27	-97	-38	95	43	-84	1	-46	-3	-55	-9	-100	-94	-24	-54	-95
79	-6	-63	99	-50	-84	-12	-87	65	-12	62	55	62	-96	-85	21
85	62	100	-33	-43	-41	29	-4	47	74	28	-51	-61	19	66	-76
-85	-82	-44	42	90	-60	1	14	97	69	61	-47	44	39	32	-78
12	-13	-89	61	-73	99	-72	-93	-44	-24	-18	-43	-86	-77	2	62
-84	-90	-39	8	29	54	95	64	27	92	-95	-19	-63	76	76	-76
8	-98	96	-31	18	96	-10	59	24	58	-26	-70	98	47	-78	78
-91	35	55	67	-82	0	45	-2	-25	21	100	-59	20	92	16	-85
-18	-73	78	-82	39	-53	-27	18	82	42	-94	68	74	-86	-59	52
65	71	18	-63	-2	2	98	66	-54	-66	-97	27	15	-99	-60	45
45	-26	-29	-47	11	70	52	21	-29	-84	25	-6	64	-26	-24	54
-87	-56	-26	25	20	54	-59	-14	72	-99	-38	-39	-68	85	86	-90
-73	-46	-54	22	16	98	96	-55	-2	17	-57	-82	23	44	8	-62
60	73	-2	20	43	100	-78	27	-15	61	-79	-58	-14	12	91	-60
-41	4	88	65	-34	37	19	-67	27	65	50	32	-65	11	-66	-15
-63	68	99	35	42	-7	68	-2	-49	-90	92	-100	-95	17	-39	34
-30	-63	-47	-99	-3	52	-57	-5	61	78	-93	77	6	-3	4	-51
76	4	-11	34	-80	30	29	-29	6	-86	80	88	55	-29	-56	-54
45	80	-25	83	-44	81	93	86	25	21	-87	-68	32	35	46	71
-84	-6	76	-45	-89	79	-51	-35	61	78	69	-53	-46	-90	5	-73
-61	-46	87	-71	75	-40	-95	-12	27	55	-55	42	-35	-97	-28	49
80	-45	66	38	64	76	-97	32	76	-66	-43	-85	54	-25	-36	-21
-75	-80	76	-51	-3	18	-22	25	-84	-30	9	-27	39	62	-35	-44
-87	79	-44	36	95	-25	47	40	-14	-38	47	84	-80	-92	-63	19
-19	-41	46	31	70	-85	-54	14	6	12	-41	8	-99	84	74	-95
68	21	73	-62	-75	54	48	43	11	-45	93	30	-72	20	-93	-93
54	43	-44	-98	78	-92	23	20	4	-48	-28	-92	-99	-2	-49	9
-90	-71	-48	-53	55	-32	78	-55	65	-19	-39	-20	-19	-74	-49	-82
43	-61	64	-72	18	41	96	-99	-37	-4	-65	-59	52	-97	-33	4
85	-16	53	54	84	-47	5	-100	76	-23	-88	62	14	80	-9	-82
58	50	35	-81	-23	60	-43	-1	-20	-48	-37	6	31	-35	2	-88
-26	-10	16	33	-4	5	17	-84	-6	42	-58	-41	-62	35	17	77
71	-100	-39	87	-55	28	52	24	-12	-86	-71	64	5	95	-62	20
14	-100	-1	80	73	-55	-81	37	71	63	-54	-71	-11	52	77	39
-88	28	57	67	2	85	17	-43	97	-2	-81	91	42	-47	-12	72
-54	34	-72	-19	-12	-8	12	-65	89	63	-92	-78	-32	19	-18	-60
-5	6	-26	-3	-17	34	68	65	-3	11	16	36	-37	77	-34	29
-81	-63	-97	61	96	-41	94	-32	-51	-19	-48	84	-40	-58	-34	-54
-78	67	-83	98	-58	64	-54	46	88	-26	-5	-57	-74	46	-25	-60
18	7	-3	-60	31	47	47	91	90	-94	-43	10	-51	87	26	-16
60	9	-77	39	-31	61	51	-45	-95	-38	60	35	-46	94	-13	-14
12	4	27	-89	-41	-65	-70	1	-47	63	23	-4	-4	-91	-79	2
-62	-59	-73	-78	7	-38	64	-45	87	53	-81	-32	-2	87	74	0
-56	-14	-1	-71	-65	-66	-47	-12	27	34	-1	19	58	-49	88	46
-22	-27	60	-77	-63	62	92	46	2	91	54	-94	24	5	-58	90
-71	31	-77	-84	-16	-27	-37	73	-90	-33	-70	-95	9	-66	41	-8
55	-87	75	-76	4	71	90	66	59	8	51	-24	64	-36	-65	39
-49	-24	3	5	-52	95	-32	74	-98	85	-19	12	55	69	-85	-63
-50	-56	12	-55	77	-44	-75	9	32	30	44	51	-70	45	-83	-13
-15	20	-1	-77	53	-19	39	-11	-76	-64	79	-94	-55	-6	-11	-10
-85	30	4	93	-9	18	-18	-75	-54	25	-12	-57	20	-13	-14	59
69	44	62	28	15	-15	-14	-31	-99	0	0	42	-60	-64	38	-63
100	-6	3	1	76	-39	-76	77	-2	-60	91	90	84	58	87	1
-77	-20	73	34	-81	-14	-43	-82	-46	-43	-90	-8	-73	-5	-44	-62
-24	61	-9	-46	64	-24	46	-73	76	15	36	-13	-91	-67	11	32
-48	-45	-88	93	56	92	-56	78	17	-47	98	45	100	-48	-83	35
0	-56	-35	-39	35	67	-53	-56	17	68	-5	17	65	60	-36	-32
-49	-88	100	15	-68	-91	85	-71	-12	-2	20	58	-89	-43	-13	76
94	-22	57	49	50	-43	10	-65	-47	60	-37	5	70	60	97	65
33	-96	-47	-100	-40	-61	-33	87	-40	8	77	72	-55	-52	94	-78
-28	-85	42	10	10	50	-13	-53	96	68	-37	0	70	-39	65	-15
-65	-42	-41	57	9	25	43	32	-29	-8	-4	-30	-43	-85	70	38
-93	-5	83	-31	95	-65	-21	-71	-45	46	-63	-62	81	75	10	43
8	98	-66	22	-6	40	-49	-38	50	-99	42	46	-29	-40	-76	-13
11	63	-72	-49	21	86	-29	-89	74	-38	-13	11	38	100	-37	-31
62	-19	34	56	-37	54	-69	90	-12	-32	52	47	27	-59	-95	3
