60	-7	-24	74	26	91	62	-89	28	26	74	-50	58	61	-9	81
-98	15	16	91	-25	-64	11	-26	54	-75	-45	-5	-28	-33	-22	-25
39	-77	96	79	0	-92	97	24	-99	58	27	-17	67	-81	-3	-57
-18	89	-41	-94	-54	-13	89	-62	61	-46	-41	-70	9	12	-11	-79
-33	-10	67	-73	-66	-89	72	-86	20	-5	10	21	-49	30	45	-76
-48	93	-24	23	5	25	-75	-62	-56	-16	-9	-51	79	89	61	54
-11	14	-48	85	55	-68	-38	15	-27	-47	95	-15	38	35	-30	85
30	89	-77	77	25	-82	-86	83	-89	9	-32	-55	-10	-46	-61	-43
44	35	72	-46	-53	99	60	16	70	20	33	-5	28	-45	-58	10
98	-24	1	-94	-85	1	54	33	-49	-19	-33	-94	-17	52	22	-86
81	46	-84	100	69	57	40	10	-51	-87	-47	47	-99	39	46	81
-24	51	97	8	89	-8	38	98	9	-23	-27	-94	-29	-44	72	19
-52	77	64	-24	94	-47	17	-60	83	-29	-88	78	-29	-89	82	95
39	31	4	72	64	75	90	68	34	-58	-17	2	-47	2	98	-94
86	46	83	82	-67	-49	-84	-75	80	87	-81	55	36	-50	59	-39
-56	-42	97	-93	6	-43	-35	-85	13	35	17	70	-16	28	-37	100
45	-23	-62	-84	-14	7	-62	-9	-40	-66	95	70	-4	-24	-12	-8
12	56	11	38	49	77	-85	-48	1	55	91	-3	-28	-96	61	-63
61	65	-100	-85	98	-98	85	-30	51	26	23	16	12	-93	45	72
57	38	-38	26	26	44	-36	-26	64	71	36	0	-15	-31	53	100
71	23	-40	-92	2	5	98	-68	-64	-18	2	62	9	-9	-79	54
-72	48	5	4	67	34	-84	88	-75	-87	-99	-99	-69	-48	-76	49
20	-3	13	-91	68	-13	-56	-16	-100	29	51	97	-65	-30	41	58
8	-22	-67	-13	-60	-29	29	-18	-18	-41	94	70	-43	-32	-22	-71
66	95	83	5	-35	83	-22	0	78	-70	-10	63	97	73	56	33
-15	-53	-42	84	77	-57	15	47	-69	-9	-68	-13	-90	-97	58	42
89	31	20	-42	37	-75	-91	-38	-11	-69	-4	86	-18	83	28	97
-67	95	86	-79	29	-16	18	4	-60	-62	-21	-79	-60	-15	-100	-84
6	-23	75	61	-67	-65	52	3	-43	65	-62	80	50	-65	58	-93
-15	81	11	11	-13	72	31	-60	100	64	-60	-77	-74	77	-13	-71
-5	-44	17	21	54	-57	-88	11	81	86	-13	-53	-32	11	73	77
-79	63	12	2	-91	-49	86	-38	-21	-83	14	81	-17	1	62	86
49	-9	53	94	82	17	28	88	19	28	45	-99	33	-9	4	41
-75	-84	23	-68	67	85	-86	-10	0	-27	-27	-26	-7	-60	-18	6
87	-30	43	16	99	14	41	-32	82	93	17	-24	39	38	24	-92
53	25	-86	-93	87	45	-100	-100	-19	15	-75	-1	-20	-65	-68	-39
-66	-6	99	-58	33	-30	-46	-35	96	-83	-61	6	87	-71	-61	-89
-44	23	51	36	-16	-99	89	-20	82	-56	-40	42	96	-13	75	21
-61	-93	-87	-7	-73	-76	44	19	-90	84	-80	68	53	63	-37	-43
